uid,skill,x,y
944252,Abductive reasoning,1.038186886,8.429118774
944252,Active listening,3.019093807,8.575191571
944252,Clarifying,1.205251325,6.306513059
944252,Critiquing,-2.112171109,7.678639496
944252,Decision making,3.376790413,6.865900266
944252,Deductive reasoning,1.13365228,4.252872979
944252,Defining the problem,1.014320537,2.291187856
944252,Delegation,3.663483759,4.773946009
944252,Digging deep,3.735082804,2.980843029
944252,Drawing,5.071598317,8.490421105
944252,Explaining in simple terms,5.047731969,7.18007581
944252,Facilitating,5.95465321,4.796934749
944252,Goal setting,5.859187816,2.873562634
944252,Identifying core components,6.455846527,8.03065099
944252,Identifying key insights,6.789975405,6.643677342
944252,Identifying known and unknown,6.575178269,4.260536282
944252,Identifying obstacles,1.778043688,5.249041561
944252,Identifying patterns,3.615751062,3.938697435
944252,Improvising,2.875895716,2.01532532
944252,Inductive reasoning,6.431980179,3.203064783
944252,Mentoring,2.016707172,-1.70881191
944252,Observing,4.880667529,1.770114826
944252,Pivoting,7.911693782,2.490420871
944252,Persuading,4.451073257,5.62452119
944252,Prioritizing,5.33412815,4.0689654
944252,Record-keeping,-3.138424093,6.551723553
944252,Reframing,2.398568747,4.015325787
944252,Representing ideas visually,1.778043688,2.245210377
944252,Story building,6.384247482,2.084290369
944252,Story telling,4.116944379,3.187739347
944252,Synthesizing information,0.608592614,5.6704975
944252,Trust building,7.935560131,2.214559504
944252,Understanding tradeoffs,2.398568747,3.816091603
944252,Working under time pressure,7.17183698,9.326149075
944252,Using materials creatively,0.489260872,3.417624404
944252,Physical prototyping,3.997612637,4.521072212
944252,Digital prototyping,4.355607864,-1.501915592
1028243,Abductive reasoning,3.973746288,4.39539406
1028243,Active listening,1.634845597,6.230326413
1028243,Clarifying,4.355607864,6.146113127
1028243,Critiquing,3.926013591,5.907869833
1028243,Decision making,6.121717649,4.211372478
1028243,Deductive reasoning,6.264915739,4.740883503
1028243,Defining the problem,-0.369927673,8.648752516
1028243,Delegation,7.02863889,8.871641543
1028243,Digging deep,2.446301444,4.717850639
1028243,Drawing,-2.088304761,8.088292215
1028243,Explaining in simple terms,4.880667529,1.93858024
1028243,Facilitating,7.219569677,1.624040659
1028243,Goal setting,8.937946766,8.295825804
1028243,Identifying core components,3.63961741,5.677543538
1028243,Identifying key insights,4.26014247,6.130758275
1028243,Identifying known and unknown,-0.369927673,7.888675624
1028243,Identifying obstacles,5.78758877,6.959693015
1028243,Identifying patterns,6.599044618,6.645153434
1028243,Improvising,6.503579224,6.714011868
1028243,Inductive reasoning,8.221956312,8.318618511
1028243,Mentoring,6.169450346,7.696737044
1028243,Observing,6.933173496,7.228647184
1028243,Pivoting,6.837708102,8.910029259
1028243,Persuading,6.360381133,7.136276743
1028243,Prioritizing,7.601431253,6.898272436
1028243,Record-keeping,6.312648436,5.470250106
1028243,Reframing,6.980906193,3.343569706
1028243,Representing ideas visually,5.310261801,2.837092716
1028243,Story building,6.026252255,5.516314662
1028243,Story telling,6.026252255,4.894673353
1028243,Synthesizing information,4.928400226,3.466410866
1028243,Trust building,3.735082804,3.919625603
1028243,Understanding tradeoffs,5.405727195,4.679703081
1028243,Working under time pressure,4.642004045,5.82341639
1028243,Using materials creatively,4.355607864,4.472169492
1028243,Physical prototyping,6.933173496,7.305182459
1028243,Digital prototyping,7.267302374,5.954174547
1029440,Abductive reasoning,2.016707172,6.436781025
1029440,Active listening,4.784904972,2.176245328
1029440,Clarifying,-1.706443186,4.467432599
1029440,Critiquing,-3.377087577,7.831416806
1029440,Decision making,-1.229116217,6.674329385
1029440,Deductive reasoning,4.522375139,5.287355737
1029440,Defining the problem,2.947494762,7.501915826
1029440,Delegation,-3.591884713,3.701149075
1029440,Digging deep,1.849642733,8.023946477
1029440,Drawing,7.076074423,2.804597584
1029440,Explaining in simple terms,2.732697626,1.68582317
1029440,Facilitating,-3.568018365,-0.352490305
1029440,Goal setting,1.634845597,4.582375128
1029440,Identifying core components,-0.847254642,0.521072446
1029440,Identifying key insights,4.761038623,6.490420637
1029440,Identifying known and unknown,-2.756562517,2.498084174
1029440,Identifying obstacles,0.226731039,6.245210143
1029440,Identifying patterns,-1.515512398,8.076628469
1029440,Improvising,6.527148408,6.690134217
1029440,Inductive reasoning,-4.236276121,5.571359802
1029440,Mentoring,-6.479712875,6.789271914
1029440,Observing,2.708831277,5.287355737
1029440,Pivoting,2.637232232,-1.540230937
1029440,Persuading,-0.011932446,4.352490071
1029440,Prioritizing,4.49850879,3.8084283
1029440,Record-keeping,-3.138424093,-2.904214676
1029440,Reframing,1.348449416,3.486589454
1029440,Representing ideas visually,6.718079196,4.781609312
1029440,Story building,6.025955091,3.494252757
1029440,Story telling,6.216885879,1.99233658
1029440,Synthesizing information,-2.470166336,6.275862186
1029440,Trust building,0.871122447,8.682471381
1029440,Understanding tradeoffs,-3.520285668,3.770593519
1029440,Working under time pressure,-4.976132923,6.82758609
1029440,Using materials creatively,5.166766547,7.777777193
1029440,Physical prototyping,3.162291898,8.958332749
1029440,Digital prototyping,-0.083531491,7.609674446
1509770,Abductive reasoning,-4.665871122,7.573656846
1509770,Active listening,3.042959427,8.739168111
1509770,Clarifying,0.608591885,4.705372617
1509770,Critiquing,1.897374702,-2.933275563
1509770,Decision making,4.618138425,6.863084922
1509770,Deductive reasoning,6.909307876,8.652512998
1509770,Defining the problem,1.062052506,9.436741768
1509770,Delegation,0.751789976,9.319757366
1509770,Digging deep,-3.544152745,9.445407279
1509770,Drawing,5.262529833,8.1152513
1509770,Explaining in simple terms,4.618138425,10
1509770,Facilitating,1.348448687,9.475736568
1509770,Goal setting,-3.902147971,8.908145581
1509770,Identifying core components,1.085918854,9.276429809
1509770,Identifying key insights,0.823389021,10
1509770,Identifying known and unknown,3.377088305,6.234835355
1509770,Identifying obstacles,5.167064439,4.488734835
1509770,Identifying patterns,-0.22673031,2.257365685
1509770,Improvising,1.085918854,5.259965338
1509770,Inductive reasoning,-3.138424821,2.820623917
1509770,Mentoring,-0.727923628,-1.733102253
1509770,Observing,-1.587112172,9.033795494
1509770,Pivoting,1.563245823,9.055459272
1509770,Persuading,-2.207637232,9.805025997
1509770,Prioritizing,0.894988067,8.024263432
1509770,Record-keeping,4.904534606,5.619584055
1509770,Reframing,2.756563246,8.136915078
1509770,Representing ideas visually,2.661097852,5.940207972
1509770,Story building,-1.968973747,3.535528596
1509770,Story telling,6.288782816,5.047660312
1509770,Synthesizing information,-3.257756563,7.322357019
1509770,Trust building,-3.854415274,3.080589255
1509770,Understanding tradeoffs,1.849642005,9.064124783
1509770,Working under time pressure,3.973747017,6.243500867
1509770,Using materials creatively,0.22673031,5.467937608
1509770,Physical prototyping,4.331742243,9.995667244
1509770,Digital prototyping,6.599045346,10
1509852,Abductive reasoning,3.877983731,8.533834586
1509852,Active listening,4.164678533,0.180451243
1509852,Clarifying,4.427208366,6.375939505
1509852,Critiquing,-3.281920804,9.037594329
1509852,Decision making,6.073986409,8.466165872
1509852,Deductive reasoning,1.730309534,8.458646617
1509852,Defining the problem,4.331742972,2.766916949
1509852,Delegation,4.522673759,-3.894736498
1509852,Digging deep,-2.42273226,8.390977903
1509852,Drawing,-4.904832499,1.819549216
1509852,Explaining in simple terms,1.443913353,5.195488607
1509852,Facilitating,2.995226002,1.278196062
1509852,Goal setting,3.209725974,6.984962521
1509852,Identifying core components,2.422433639,3.894736498
1509852,Identifying key insights,0.322194976,6.895206423
1509852,Identifying known and unknown,-0.035800251,3.052631464
1509852,Identifying obstacles,-0.083532948,4.924812604
1509852,Identifying patterns,-2.804593835,3.894736498
1509852,Improvising,0.202863233,8.3609026
1509852,Inductive reasoning,-2.088603382,6.661654021
1509852,Mentoring,-2.756861138,0.751880273
1509852,Observing,-1.993137988,1.721804626
1509852,Pivoting,0.393794021,8.406015267
1509852,Persuading,5.692124833,5.466634994
1509852,Prioritizing,6.599046074,6.323308156
1509852,Record-keeping,-5.716288346,-1.428570855
1509852,Reframing,-3.711515076,8.451127934
1509852,Representing ideas visually,-3.80698047,5.345864547
1509852,Story building,-5.716288346,9.210526316
1509852,Story telling,0.131264188,8.864661769
1509852,Synthesizing information,-3.472851592,5.812029731
1509852,Trust building,1.897373973,8.887688199
1509852,Understanding tradeoffs,7.028640346,6.022556276
1509852,Working under time pressure,7.720764451,2.406015611
1509852,Using materials creatively,0.990452732,9.203007634
1509852,Physical prototyping,2.207636503,9.534304626
1509852,Digital prototyping,2.207636503,9.789943838
1526139,Abductive reasoning,0.894988067,-0.512333966
1526139,Active listening,0.751789976,1.712523719
1526139,Clarifying,1.30071599,-2.058823529
1526139,Critiquing,1.324582339,-4.046489564
1526139,Decision making,7.887828162,-7.70398482
1526139,Deductive reasoning,5.095465394,-0.583491461
1526139,Defining the problem,-2.565632458,2.855787476
1526139,Delegation,6.264916468,-4.824478178
1526139,Digging deep,-2.923627685,7.912713472
1526139,Drawing,-0.274463007,-6.181214421
1526139,Explaining in simple terms,0.656324582,-4.44971537
1526139,Facilitating,0.727923628,8.09772296
1526139,Goal setting,5.023866348,-6.869070209
